library,operation,iter,microseconds
mlkem-native,keygen,177,15.5560
mlkem-native,keygen,178,15.5420
mlkem-native,keygen,179,15.9200
mlkem-native,keygen,180,15.7100
mlkem-native,keygen,181,15.4630
mlkem-native,keygen,182,15.3760
mlkem-native,keygen,183,15.5500
mlkem-native,keygen,184,15.6490
mlkem-native,keygen,185,15.5640
mlkem-native,keygen,186,15.9420
mlkem-native,keygen,187,15.5530
mlkem-native,keygen,188,16.0510
mlkem-native,keygen,189,18.1690
mlkem-native,keygen,190,16.2400
mlkem-native,keygen,191,16.0370
mlkem-native,keygen,192,16.9660
mlkem-native,keygen,193,18.5180
mlkem-native,keygen,194,82.1210
mlkem-native,keygen,195,18.7560
mlkem-native,keygen,196,16.0150
mlkem-native,keygen,197,16.2190
mlkem-native,keygen,198,16.1210
mlkem-native,keygen,199,15.7180
mlkem-native,keygen,200,16.1470
mlkem-native,keygen,201,15.8750
mlkem-native,keygen,202,16.1150
mlkem-native,keygen,203,16.1080
mlkem-native,keygen,204,16.0820
mlkem-native,keygen,205,16.4010
mlkem-native,keygen,206,17.0200
mlkem-native,keygen,207,15.8870
mlkem-native,keygen,208,15.8710
mlkem-native,keygen,209,15.4010
mlkem-native,keygen,210,15.7500
mlkem-native,keygen,211,15.6750
mlkem-native,keygen,212,15.4130
mlkem-native,keygen,213,15.4990
mlkem-native,keygen,214,15.9880
mlkem-native,keygen,215,15.9420
mlkem-native,keygen,216,15.9380
mlkem-native,keygen,217,18.1920
mlkem-native,keygen,218,15.6480
mlkem-native,keygen,219,15.5950
mlkem-native,keygen,220,15.7480
mlkem-native,keygen,221,15.8100
mlkem-native,keygen,222,22.8230
mlkem-native,keygen,223,16.9710
mlkem-native,keygen,224,15.8100
mlkem-native,keygen,225,15.5550
mlkem-native,keygen,226,15.7020
mlkem-native,keygen,227,16.7690
mlkem-native,keygen,228,15.5480
mlkem-native,keygen,229,15.7920
mlkem-native,keygen,230,15.4750
mlkem-native,keygen,231,15.7380
mlkem-native,keygen,232,15.7330
mlkem-native,keygen,233,15.6410
mlkem-native,keygen,234,15.4390
mlkem-native,keygen,235,15.6370
mlkem-native,keygen,236,15.4740
mlkem-native,keygen,237,15.5860
mlkem-native,keygen,238,15.6160
mlkem-native,keygen,239,15.4660
mlkem-native,keygen,240,15.6940
mlkem-native,keygen,241,15.4910
mlkem-native,keygen,242,15.5600
mlkem-native,keygen,243,15.5890
mlkem-native,keygen,244,15.5440
mlkem-native,keygen,245,15.5770
mlkem-native,keygen,246,15.5220
mlkem-native,keygen,247,15.6740
mlkem-native,keygen,248,15.7120
mlkem-native,keygen,249,15.7440
mlkem-native,keygen,250,15.6890
mlkem-native,keygen,251,15.5670
mlkem-native,keygen,252,16.5370
mlkem-native,keygen,253,15.7510
mlkem-native,keygen,254,15.6520
mlkem-native,keygen,255,15.7760
mlkem-native,keygen,256,15.6380
mlkem-native,keygen,257,15.7970
mlkem-native,keygen,258,15.5470
mlkem-native,keygen,259,15.5490
mlkem-native,keygen,260,15.5530
mlkem-native,keygen,261,16.8700
mlkem-native,keygen,262,16.8920
mlkem-native,keygen,263,16.7300
mlkem-native,keygen,264,16.0460
mlkem-native,keygen,265,15.6260
mlkem-native,keygen,266,15.3610
mlkem-native,keygen,267,15.7700
mlkem-native,keygen,268,16.8960
mlkem-native,keygen,269,16.8750
mlkem-native,keygen,270,15.6930
mlkem-native,keygen,271,15.7730
mlkem-native,keygen,272,15.6800
mlkem-native,keygen,273,15.4830
mlkem-native,keygen,274,15.5800
mlkem-native,keygen,275,15.5660
mlkem-native,keygen,276,15.5900
mlkem-native,keygen,277,15.6400
mlkem-native,keygen,278,15.3930
mlkem-native,keygen,279,15.3970
mlkem-native,keygen,280,15.7490
mlkem-native,keygen,281,15.6690
mlkem-native,keygen,282,15.6000
mlkem-native,keygen,283,15.5960
mlkem-native,keygen,284,15.5330
mlkem-native,keygen,285,15.5840
mlkem-native,keygen,286,15.4890
mlkem-native,keygen,287,15.6080
