library,operation,iter,microseconds
mlkem-native-avx2,keygen,144,7.7980
mlkem-native-avx2,keygen,145,7.7670
mlkem-native-avx2,keygen,146,7.7680
mlkem-native-avx2,keygen,147,7.7260
mlkem-native-avx2,keygen,148,7.7440
mlkem-native-avx2,keygen,149,7.8530
mlkem-native-avx2,keygen,150,7.8050
mlkem-native-avx2,keygen,151,7.7680
mlkem-native-avx2,keygen,152,7.7450
mlkem-native-avx2,keygen,153,7.8460
mlkem-native-avx2,keygen,154,7.8190
mlkem-native-avx2,keygen,155,8.4170
mlkem-native-avx2,keygen,156,6.7910
mlkem-native-avx2,keygen,157,6.8490
mlkem-native-avx2,keygen,158,6.7900
mlkem-native-avx2,keygen,159,6.8020
mlkem-native-avx2,keygen,160,6.7620
mlkem-native-avx2,keygen,161,6.7990
mlkem-native-avx2,keygen,162,6.8300
mlkem-native-avx2,keygen,163,6.8330
mlkem-native-avx2,keygen,164,6.8190
mlkem-native-avx2,keygen,165,6.7890
mlkem-native-avx2,keygen,166,6.8140
mlkem-native-avx2,keygen,167,6.7590
mlkem-native-avx2,keygen,168,6.8570
mlkem-native-avx2,keygen,169,6.8270
mlkem-native-avx2,keygen,170,6.8050
mlkem-native-avx2,keygen,171,6.8260
mlkem-native-avx2,keygen,172,6.7580
mlkem-native-avx2,keygen,173,6.9190
mlkem-native-avx2,keygen,174,6.9840
mlkem-native-avx2,keygen,175,6.9690
mlkem-native-avx2,keygen,176,6.9710
mlkem-native-avx2,keygen,177,6.9240
mlkem-native-avx2,keygen,178,6.9660
mlkem-native-avx2,keygen,179,6.8530
mlkem-native-avx2,keygen,180,6.8330
mlkem-native-avx2,keygen,181,6.8140
mlkem-native-avx2,keygen,182,6.7820
mlkem-native-avx2,keygen,183,6.7740
mlkem-native-avx2,keygen,184,6.8380
mlkem-native-avx2,keygen,185,6.8550
mlkem-native-avx2,keygen,186,6.8120
mlkem-native-avx2,keygen,187,6.8080
mlkem-native-avx2,keygen,188,6.8290
mlkem-native-avx2,keygen,189,6.8130
mlkem-native-avx2,keygen,190,6.8120
mlkem-native-avx2,keygen,191,6.7650
mlkem-native-avx2,keygen,192,6.7970
mlkem-native-avx2,keygen,193,6.8430
mlkem-native-avx2,keygen,194,6.8680
mlkem-native-avx2,keygen,195,6.8410
mlkem-native-avx2,keygen,196,6.7950
mlkem-native-avx2,keygen,197,6.8200
mlkem-native-avx2,keygen,198,6.8630
mlkem-native-avx2,keygen,199,6.8760
mlkem-native-avx2,keygen,200,7.9550
mlkem-native-avx2,keygen,201,6.6380
mlkem-native-avx2,keygen,202,6.6100
mlkem-native-avx2,keygen,203,6.6270
mlkem-native-avx2,keygen,204,6.6260
mlkem-native-avx2,keygen,205,6.6080
mlkem-native-avx2,keygen,206,6.6240
mlkem-native-avx2,keygen,207,6.7050
mlkem-native-avx2,keygen,208,6.6360
mlkem-native-avx2,keygen,209,6.6280
mlkem-native-avx2,keygen,210,6.5960
mlkem-native-avx2,keygen,211,6.6820
mlkem-native-avx2,keygen,212,6.6330
mlkem-native-avx2,keygen,213,6.6630
mlkem-native-avx2,keygen,214,6.6270
mlkem-native-avx2,keygen,215,6.5930
mlkem-native-avx2,keygen,216,6.7170
mlkem-native-avx2,keygen,217,6.7480
mlkem-native-avx2,keygen,218,6.6530
mlkem-native-avx2,keygen,219,6.5830
mlkem-native-avx2,keygen,220,6.6260
mlkem-native-avx2,keygen,221,6.6540
mlkem-native-avx2,keygen,222,6.6410
mlkem-native-avx2,keygen,223,6.6490
mlkem-native-avx2,keygen,224,6.6500
mlkem-native-avx2,keygen,225,6.6300
mlkem-native-avx2,keygen,226,6.5900
mlkem-native-avx2,keygen,227,6.6370
mlkem-native-avx2,keygen,228,6.6060
mlkem-native-avx2,keygen,229,6.6240
mlkem-native-avx2,keygen,230,7.2050
mlkem-native-avx2,keygen,231,6.6090
mlkem-native-avx2,keygen,232,6.6260
mlkem-native-avx2,keygen,233,6.6550
mlkem-native-avx2,keygen,234,6.6690
mlkem-native-avx2,keygen,235,6.6280
mlkem-native-avx2,keygen,236,6.6010
mlkem-native-avx2,keygen,237,6.6730
mlkem-native-avx2,keygen,238,6.5690
mlkem-native-avx2,keygen,239,6.5890
mlkem-native-avx2,keygen,240,6.6470
mlkem-native-avx2,keygen,241,6.6650
mlkem-native-avx2,keygen,242,6.6160
mlkem-native-avx2,keygen,243,6.6410
mlkem-native-avx2,keygen,244,6.5970
mlkem-native-avx2,keygen,245,6.6350
mlkem-native-avx2,keygen,246,6.6050
mlkem-native-avx2,keygen,247,6.6340
mlkem-native-avx2,keygen,248,6.5980
mlkem-native-avx2,keygen,249,6.6670
mlkem-native-avx2,keygen,250,6.6380
mlkem-native-avx2,keygen,251,6.6220
mlkem-native-avx2,keygen,252,6.6240
mlkem-native-avx2,keygen,253,6.5830
mlkem-native-avx2,keygen,254,6.6060
mlkem-native-avx2,keygen,255,6.6000
mlkem-native-avx2,keygen,256,6.6100
mlkem-native-avx2,keygen,257,6.6510
mlkem-native-avx2,keygen,258,6.5930
mlkem-native-avx2,keygen,259,6.6010
mlkem-native-avx2,keygen,260,6.6080
mlkem-native-avx2,keygen,261,7.1660
mlkem-native-avx2,keygen,262,6.6370
mlkem-native-avx2,keygen,263,6.6450
mlkem-native-avx2,keygen,264,6.6050
mlkem-native-avx2,keygen,265,6.6410
mlkem-native-avx2,keygen,266,6.5970
mlkem-native-avx2,keygen,267,6.6470
mlkem-native-avx2,keygen,268,6.6360
mlkem-native-avx2,keygen,269,6.6070
mlkem-native-avx2,keygen,270,6.7160
mlkem-native-avx2,keygen,271,16.1950
mlkem-native-avx2,keygen,272,6.8620
mlkem-native-avx2,keygen,273,6.5990
mlkem-native-avx2,keygen,274,6.6710
mlkem-native-avx2,keygen,275,6.6220
mlkem-native-avx2,keygen,276,6.7150
mlkem-native-avx2,keygen,277,6.6300
mlkem-native-avx2,keygen,278,6.6220
mlkem-native-avx2,keygen,279,6.5940
mlkem-native-avx2,keygen,280,6.6070
mlkem-native-avx2,keygen,281,6.6350
mlkem-native-avx2,keygen,282,6.6350
mlkem-native-avx2,keygen,283,6.6520
mlkem-native-avx2,keygen,284,6.6250
mlkem-native-avx2,keygen,285,6.6600
mlkem-native-avx2,keygen,286,7.4150
mlkem-native-avx2,keygen,287,5.8120
mlkem-native-avx2,keygen,288,5.7410
mlkem-native-avx2,keygen,289,5.7710
mlkem-native-avx2,keygen,290,5.7950
mlkem-native-avx2,keygen,291,5.7620
mlkem-native-avx2,keygen,292,5.7660
mlkem-native-avx2,keygen,293,5.8070
mlkem-native-avx2,keygen,294,5.7840
mlkem-native-avx2,keygen,295,5.8170
mlkem-native-avx2,keygen,296,5.8330
mlkem-native-avx2,keygen,297,5.7650
mlkem-native-avx2,keygen,298,5.8910
mlkem-native-avx2,keygen,299,5.7280
mlkem-native-avx2,keygen,300,5.8380
mlkem-native-avx2,keygen,301,5.7900
mlkem-native-avx2,keygen,302,5.8250
mlkem-native-avx2,keygen,303,5.7970
mlkem-native-avx2,keygen,304,5.8140
mlkem-native-avx2,keygen,305,5.8280
mlkem-native-avx2,keygen,306,6.2530
mlkem-native-avx2,keygen,307,5.8020
mlkem-native-avx2,keygen,308,5.8240
mlkem-native-avx2,keygen,309,5.7670
mlkem-native-avx2,keygen,310,5.8150
mlkem-native-avx2,keygen,311,5.7750
mlkem-native-avx2,keygen,312,5.7640
mlkem-native-avx2,keygen,313,5.8500
mlkem-native-avx2,keygen,314,5.8080
mlkem-native-avx2,keygen,315,5.7950
mlkem-native-avx2,keygen,316,5.8270
mlkem-native-avx2,keygen,317,5.7670
mlkem-native-avx2,keygen,318,5.8360
mlkem-native-avx2,keygen,319,5.7730
mlkem-native-avx2,keygen,320,5.7640
mlkem-native-avx2,keygen,321,5.7430
mlkem-native-avx2,keygen,322,5.7950
mlkem-native-avx2,keygen,323,5.8460
mlkem-native-avx2,keygen,324,5.7920
mlkem-native-avx2,keygen,325,5.7510
mlkem-native-avx2,keygen,326,5.7850
mlkem-native-avx2,keygen,327,5.7850
mlkem-native-avx2,keygen,328,8.3120
mlkem-native-avx2,keygen,329,5.5680
mlkem-native-avx2,keygen,330,5.4540
mlkem-native-avx2,keygen,331,5.4950
mlkem-native-avx2,keygen,332,5.4670
mlkem-native-avx2,keygen,333,5.5220
mlkem-native-avx2,keygen,334,5.4980
mlkem-native-avx2,keygen,335,5.5410
mlkem-native-avx2,keygen,336,5.4900
mlkem-native-avx2,keygen,337,5.4800
mlkem-native-avx2,keygen,338,5.4760
mlkem-native-avx2,keygen,339,5.5490
mlkem-native-avx2,keygen,340,5.5510
mlkem-native-avx2,keygen,341,5.4830
mlkem-native-avx2,keygen,342,5.5010
mlkem-native-avx2,keygen,343,5.5070
mlkem-native-avx2,keygen,344,5.4890
mlkem-native-avx2,keygen,345,5.5210
mlkem-native-avx2,keygen,346,5.4760
mlkem-native-avx2,keygen,347,5.5120
mlkem-native-avx2,keygen,348,5.5490
mlkem-native-avx2,keygen,349,5.5010
mlkem-native-avx2,keygen,350,5.4780
mlkem-native-avx2,keygen,351,5.9600
mlkem-native-avx2,keygen,352,5.9350
mlkem-native-avx2,keygen,353,5.4480
mlkem-native-avx2,keygen,354,5.5080
mlkem-native-avx2,keygen,355,5.4690
mlkem-native-avx2,keygen,356,5.5010
mlkem-native-avx2,keygen,357,5.5240
mlkem-native-avx2,keygen,358,6.0020
mlkem-native-avx2,keygen,359,5.5100
mlkem-native-avx2,keygen,360,5.5230
mlkem-native-avx2,keygen,361,5.5610
mlkem-native-avx2,keygen,362,5.5650
mlkem-native-avx2,keygen,363,5.5080
mlkem-native-avx2,keygen,364,5.4720
mlkem-native-avx2,keygen,365,5.5400
mlkem-native-avx2,keygen,366,5.5050
mlkem-native-avx2,keygen,367,5.6270
mlkem-native-avx2,keygen,368,5.4730
mlkem-native-avx2,keygen,369,5.5210
mlkem-native-avx2,keygen,370,5.4670
mlkem-native-avx2,keygen,371,5.5370
mlkem-native-avx2,keygen,372,5.4940
mlkem-native-avx2,keygen,373,5.5200
mlkem-native-avx2,keygen,374,5.4550
mlkem-native-avx2,keygen,375,5.5370
mlkem-native-avx2,keygen,376,5.4980
mlkem-native-avx2,keygen,377,5.5010
mlkem-native-avx2,keygen,378,5.4970
mlkem-native-avx2,keygen,379,5.9760
mlkem-native-avx2,keygen,380,5.5230
mlkem-native-avx2,keygen,381,5.4800
mlkem-native-avx2,keygen,382,5.4750
mlkem-native-avx2,keygen,383,5.4830
mlkem-native-avx2,keygen,384,5.4960
mlkem-native-avx2,keygen,385,5.4610
mlkem-native-avx2,keygen,386,5.4740
mlkem-native-avx2,keygen,387,5.4840
mlkem-native-avx2,keygen,388,5.5200
mlkem-native-avx2,keygen,389,5.5190
mlkem-native-avx2,keygen,390,5.5390
mlkem-native-avx2,keygen,391,5.5290
mlkem-native-avx2,keygen,392,5.5510
mlkem-native-avx2,keygen,393,5.5400
mlkem-native-avx2,keygen,394,5.4640
mlkem-native-avx2,keygen,395,5.5010
mlkem-native-avx2,keygen,396,5.5880
